5 to 17,18 to 64,65+,Native,Foreign born,Naturalized U.S. citizen,Not a U.S. citizen,Below poverty level,At or above poverty level,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,State,Language
21.4,71.3,7.3,43,57,23.2,33.8,18.8,81.2,22.3,23.9,19.8,34,Kentucky,Other Language
22.2,73.2,4.6,50,50,13.7,36.3,19,81,24,29.9,20.3,25.8,Kentucky,Spanish
18.4,63.5,18,99.2,0.8,0.5,0.3,18.1,81.9,11.8,33,28.2,27,Louisiana,Only English
15.9,65.9,18.2,51.5,48.5,20.3,28.1,18.2,81.8,22.5,27,21.2,29.2,Louisiana,Other Language
21.2,71.2,7.6,46.1,53.9,14.1,39.8,21.4,78.6,27.4,28.5,22.2,21.8,Louisiana,Spanish
14,62.7,23.3,98.2,1.8,1.2,0.6,10.4,89.6,5,30,28.8,36.2,Maine,Only English
12.7,58.5,28.8,56.6,43.4,21.9,21.5,16.6,83.4,11,32.2,22.5,34.3,Maine,Other Language
10.9,76.9,12.2,70.1,29.9,19.3,10.6,13.3,86.7,6,23.5,25,45.6,Maine,Spanish
17,63.5,19.5,95.5,4.5,3.2,1.3,9,91,6.2,24.7,25.7,43.4,Maryland,Only English
17.8,70.3,12,32.3,67.7,34.5,33.2,11.4,88.6,17.7,19.1,17.5,45.6,Maryland,Other Language
23,69.9,7.1,41.8,58.2,17.8,40.4,12.6,87.4,32.8,26,17.5,23.8,Maryland,Spanish
15.1,63.8,21,95.6,4.4,3,1.4,8.8,91.2,5,22.5,22.9,49.6,Massachusetts,Only English
14.5,72.7,12.9,37.8,62.2,32.9,29.3,15,85,19.6,24.4,18.2,37.8,Massachusetts,Other Language
18.3,72.5,9.3,55.1,44.9,18.7,26.1,19.5,80.5,26.5,31,20.8,21.7,Massachusetts,Spanish
16.4,63,20.6,98.5,1.5,1,0.5,12.6,87.4,7,28.9,32.9,31.1,Michigan,Only English
17.5,69.7,12.7,42.1,57.9,31.8,26.1,17.2,82.8,18.8,20.7,19.4,41.1,Michigan,Other Language
19.8,70.9,9.3,62.1,37.9,12.6,25.3,16.9,83.1,28.2,25.4,20.5,25.9,Michigan,Spanish
17.5,62.5,20,97.8,2.2,1.5,0.7,8.7,91.3,3.9,23.8,32.8,39.5,Minnesota,Only English
19.9,72.6,7.6,40.3,59.7,33.2,26.5,15.7,84.3,22.1,20.2,21.2,36.4,Minnesota,Other Language
22.6,72.2,5.2,55.8,44.2,14.1,30,14.9,85.1,29.9,25.9,19.9,24.3,Minnesota,Spanish
18.3,62.8,18.9,99.5,0.5,0.3,0.2,18.7,81.3,12,31,32.4,24.6,Mississippi,Only English
17,73,10,54.5,45.5,16.4,29,19.5,80.5,22.5,25.8,23,28.8,Mississippi,Other Language
20.2,73.1,6.7,59.6,40.4,9.2,31.1,18.5,81.5,27.3,27.9,26.8,18,Mississippi,Spanish
17.4,62.9,19.7,99.1,0.9,0.6,0.4,12.5,87.5,7.8,30.6,29.8,31.8,Missouri,Only English
16.8,72.7,10.5,46.6,53.4,26.1,27.3,18,82,18.3,23.1,20.4,38.2,Missouri,Other Language
19.2,73.2,7.7,59.8,40.2,14.8,25.4,18.2,81.8,25.3,29.2,21.5,24.1,Missouri,Spanish
16.8,61.7,21.5,98.8,1.2,0.7,0.5,11.7,88.3,5.2,28.2,31.8,34.8,Montana,Only English
13.8,71.5,14.7,71.7,28.3,12.1,16.2,20.1,79.9,21.3,16.7,31.2,30.8,Montana,Other Language
17.4,68.5,14.1,69.5,30.5,11.2,19.2,21.6,78.4,14.6,22.4,34.2,28.8,Montana,Spanish
18.9,61.7,19.4,98.9,1.1,0.7,0.4,10.4,89.6,4.4,25,34.8,35.8,Nebraska,Only English
20.7,70.8,8.6,42,58,24.4,33.7,16,84,30.2,25.3,18.8,25.6,Nebraska,Other Language
23.5,69.4,7.1,48.8,51.2,17.4,33.8,16,84,38.3,30.6,17.7,13.4,Nebraska,Spanish
17.8,62.1,20.1,95.8,4.2,2.6,1.6,11.8,88.2,7.2,28.1,35.6,29.1,Nevada,Only English
15.9,71.4,12.7,43.1,56.9,30.1,26.9,13,87,25.3,27.4,25.2,22.2,Nevada,Other Language
19.4,72.5,8.1,51.6,48.4,19.3,29.1,13,87,33.3,31.7,22.9,12.2,Nevada,Spanish
14.3,64.4,21.3,97.8,2.2,1.5,0.6,6.9,93.1,4.8,27.5,26.8,41,New Hampshire,Only English
12.9,67.7,19.4,42.7,57.3,33.2,24.1,9.8,90.2,13,23,18.6,45.3,New Hampshire,Other Language
15.3,77.6,7,52.3,47.7,20.5,27.2,15.4,84.6,21.3,29.6,24.1,24.9,New Hampshire,Spanish
17.5,62,20.5,93.8,6.2,4.3,2,8.1,91.9,5.1,26.1,23.8,45,New Jersey,Only English
15.6,70.3,14.1,36.5,63.5,35.7,27.9,12.2,87.8,17.7,23.5,18.2,40.6,New Jersey,Other Language
18.1,70.3,11.6,46.1,53.9,25.4,28.6,15.5,84.5,26,31,21.4,21.6,New Jersey,Spanish
19.1,60.9,20,97.7,2.3,1.3,1,15.5,84.5,6.5,23.5,34,36.1,New Mexico,Only English
